year,cement_co2,co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2
1997-08-01,659.7030833333333,24250.478333333333,8826.632333333335,244.64450000000002,4454.476250000001,6160.945083333333,9843.214083333334,221.80666666666667
1997-09-01,659.4846666666666,24243.034666666666,8806.502666666667,243.76600000000002,4460.476000000001,6026.099666666667,9851.264666666668,221.53933333333333
1997-10-01,659.26625,24235.591,8786.373,242.88750000000002,4466.4757500000005,5891.25425,9859.31525,221.272
1997-11-01,659.0478333333333,24228.14733333333,8766.243333333334,242.00900000000001,4472.4755000000005,5756.408833333333,9867.365833333333,221.00466666666665
1997-12-01,658.8294166666667,24220.703666666665,8746.113666666668,241.1305,4478.47525,5621.563416666667,9875.416416666667,220.73733333333334
1998-01-01,658.611,24213.26,8725.984,240.252,4484.475,5486.718,9883.467,220.47
1998-02-01,661.3109166666667,24256.52075,8736.751,239.62666666666667,4495.918916666667,5486.9113333333335,9902.547,220.36525
1998-03-01,664.0108333333333,24299.781499999997,8747.518,239.00133333333335,4507.362833333334,5487.104666666666,9921.627,220.2605
1998-04-01,666.71075,24343.04225,8758.285,238.376,4518.80675,5487.298,9940.707,220.15575
1998-05-01,669.4106666666667,24386.303,8769.052,237.75066666666666,4530.250666666667,5487.491333333333,9959.787,220.051
1998-06-01,672.1105833333334,24429.563749999998,8779.819,237.12533333333334,4541.694583333334,5487.684666666666,9978.867,219.94625
1998-07-01,674.8105,24472.8245,8790.586,236.5,4553.1385,5487.878,9997.947,219.8415
1998-08-01,677.5104166666666,24516.08525,8801.353000000001,235.87466666666666,4564.582416666666,5488.071333333333,10017.027,219.73675
1998-09-01,680.2103333333333,24559.345999999998,8812.12,235.24933333333334,4576.026333333333,5488.264666666666,10036.107,219.632
1998-10-01,682.91025,24602.60675,8822.887,234.624,4587.47025,5488.458,10055.187,219.52724999999998
1998-11-01,685.6101666666666,24645.8675,8833.654,233.99866666666665,4598.9141666666665,5488.651333333333,10074.267,219.42249999999999
1998-12-01,688.3100833333333,24689.128249999998,8844.421,233.37333333333333,4610.358083333333,5488.844666666666,10093.347,219.31775
1999-01-01,691.01,24732.389,8855.188,232.748,4621.802,5489.038,10112.427,219.213
1999-02-01,693.5864166666667,24792.491833333333,8884.182083333333,236.59633333333332,4630.926083333333,5457.944916666666,10128.232333333333,218.9675
1999-03-01,696.1628333333333,24852.594666666664,8913.176166666666,240.44466666666665,4640.050166666666,5426.851833333333,10144.037666666667,218.72199999999998
1999-04-01,698.73925,24912.6975,8942.17025,244.293,4649.17425,5395.75875,10159.843,218.4765
1999-05-01,701.3156666666666,24972.800333333333,8971.164333333334,248.14133333333334,4658.298333333333,5364.665666666667,10175.648333333333,218.231
1999-06-01,703.8920833333333,25032.903166666667,9000.158416666667,251.98966666666666,4667.422416666666,5333.572583333334,10191.453666666666,217.9855
1999-07-01,706.4685,25093.006,9029.1525,255.838,4676.5465,5302.4794999999995,10207.259,217.74
1999-08-01,709.0449166666667,25153.108833333332,9058.146583333333,259.6863333333333,4685.6705833333335,5271.386416666666,10223.064333333334,217.4945
1999-09-01,711.6213333333334,25213.211666666666,9087.140666666666,263.5346666666667,4694.794666666667,5240.293333333333,10238.869666666667,217.249
1999-10-01,714.19775,25273.3145,9116.134750000001,267.383,4703.91875,5209.20025,10254.675,217.0035
1999-11-01,716.7741666666667,25333.41733333333,9145.128833333334,271.23133333333334,4713.042833333333,5178.107166666667,10270.480333333333,216.75799999999998
1999-12-01,719.3505833333334,25393.520166666665,9174.122916666667,275.07966666666664,4722.166916666667,5147.0140833333335,10286.285666666667,216.5125
2000-01-01,721.927,25453.623,9203.117,278.928,4731.291,5115.921,10302.091,216.267
2000-02-01,724.6274166666667,25471.491833333333,9207.462,279.11133333333333,4734.815500000001,5084.5124166666665,10309.4725,216.00125
2000-03-01,727.3278333333334,25489.360666666667,9211.807,279.29466666666667,4738.34,5053.103833333334,10316.854,215.7355
2000-04-01,730.0282500000001,25507.2295,9216.152,279.478,4741.8645,5021.695250000001,10324.2355,215.46975
2000-05-01,732.7286666666666,25525.09833333333,9220.497,279.66133333333335,4745.389,4990.286666666667,10331.617,215.204
2000-06-01,735.4290833333333,25542.967166666665,9224.842,279.8446666666667,4748.913500000001,4958.878083333333,10338.9985,214.93825
2000-07-01,738.1295,25560.836,9229.187,280.028,4752.438,4927.4695,10346.380000000001,214.6725
2000-08-01,740.8299166666667,25578.704833333333,9233.532,280.2113333333333,4755.9625,4896.060916666667,10353.7615,214.40675
2000-09-01,743.5303333333334,25596.573666666667,9237.877,280.39466666666664,4759.487,4864.652333333333,10361.143,214.141
2000-10-01,746.23075,25614.442499999997,9242.222,280.578,4763.0115000000005,4833.24375,10368.5245,213.87525
2000-11-01,748.9311666666666,25632.31133333333,9246.567,280.7613333333333,4766.536,4801.835166666667,10375.905999999999,213.6095
2000-12-01,751.6315833333333,25650.180166666665,9250.912,280.94466666666665,4770.0605,4770.426583333334,10383.2875,213.34375
2001-01-01,754.332,25668.049,9255.257,281.128,4773.585,4739.018,10390.669,213.078
2001-02-01,757.8086666666667,25719.13133333333,9290.5655,282.5801666666666,4784.607416666667,4775.535833333333,10390.268583333333,213.301
2001-03-01,761.2853333333334,25770.213666666667,9325.874,284.0323333333333,4795.629833333333,4812.053666666667,10389.868166666667,213.524
2001-04-01,764.762,25821.296,9361.182499999999,285.48449999999997,4806.65225,4848.5715,10389.46775,213.747
2001-05-01,768.2386666666666,25872.378333333334,9396.491,286.93666666666667,4817.674666666667,4885.089333333333,10389.067333333332,213.97
2001-06-01,771.7153333333333,25923.460666666666,9431.799500000001,288.3888333333333,4828.6970833333335,4921.607166666667,10388.666916666667,214.19299999999998
2001-07-01,775.192,25974.542999999998,9467.108,289.841,4839.7195,4958.125,10388.2665,214.416
2001-08-01,778.6686666666667,26025.625333333333,9502.4165,291.29316666666665,4850.741916666667,4994.642833333333,10387.866083333332,214.639
2001-09-01,782.1453333333334,26076.707666666665,9537.725,292.7453333333333,4861.7643333333335,5031.160666666667,10387.465666666667,214.862
2001-10-01,785.6220000000001,26127.79,9573.033500000001,294.1975,4872.78675,5067.6785,10387.06525,215.08499999999998
2001-11-01,789.0986666666666,26178.872333333333,9608.342,295.64966666666663,4883.809166666667,5104.196333333333,10386.664833333332,215.308
2001-12-01,792.5753333333333,26229.95466666667,9643.6505,297.10183333333333,4894.831583333334,5140.714166666667,10386.264416666667,215.531
2002-01-01,796.052,26281.037,9678.959,298.554,4905.854,5177.232,10385.864,215.754
2002-02-01,800.7354166666667,26395.25025,9748.91775,298.62249999999995,4920.4885,5216.86425,10410.3465,216.13966666666667
2002-03-01,805.4188333333334,26509.4635,9818.8765,298.691,4935.1230000000005,5256.4965,10434.829,216.52533333333332
2002-04-01,810.10225,26623.67675,9888.83525,298.7595,4949.7575,5296.12875,10459.3115,216.911
2002-05-01,814.7856666666667,26737.89,9958.794,298.828,4964.392,5335.761,10483.794,217.29666666666665
2002-06-01,819.4690833333334,26852.10325,10028.75275,298.89649999999995,4979.0265,5375.39325,10508.2765,217.68233333333333
2002-07-01,824.1525,26966.3165,10098.711500000001,298.965,4993.661,5415.0255,10532.759,218.06799999999998
2002-08-01,828.8359166666667,27080.52975,10168.670250000001,299.0335,5008.2955,5454.65775,10557.2415,218.45366666666666
2002-09-01,833.5193333333334,27194.743000000002,10238.629,299.102,5022.93,5494.29,10581.724,218.83933333333334
2002-10-01,838.20275,27308.956250000003,10308.58775,299.17049999999995,5037.5645,5533.9222500000005,10606.2065,219.225
2002-11-01,842.8861666666667,27423.1695,10378.5465,299.239,5052.199,5573.5545,10630.689,219.61066666666667
2002-12-01,847.5695833333334,27537.38275,10448.50525,299.3075,5066.8335,5613.186750000001,10655.1715,219.99633333333333
2003-01-01,852.253,27651.596,10518.464,299.376,5081.468,5652.819,10679.654,220.382
2003-02-01,857.1124166666667,27733.687583333336,10547.890666666666,301.4115833333333,5096.1115,5628.606083333334,10709.891583333334,221.27075
2003-03-01,861.9718333333334,27815.779166666667,10577.317333333332,303.44716666666665,5110.755,5604.393166666667,10740.129166666668,222.1595
2003-04-01,866.8312500000001,27897.870750000002,10606.744,305.48275,5125.398499999999,5580.18025,10770.366750000001,223.04825
2003-05-01,871.6906666666667,27979.962333333333,10636.170666666667,307.5183333333333,5140.0419999999995,5555.967333333334,10800.604333333333,223.937
2003-06-01,876.5500833333334,28062.053916666668,10665.597333333333,309.5539166666666,5154.6855,5531.754416666667,10830.841916666666,224.82575
2003-07-01,881.4095,28144.1455,10695.024000000001,311.5895,5169.329,5507.5415,10861.0795,225.7145
2003-08-01,886.2689166666667,28226.237083333333,10724.450666666668,313.62508333333335,5183.9725,5483.328583333334,10891.317083333333,226.60325
2003-09-01,891.1283333333333,28308.328666666668,10753.877333333334,315.66066666666666,5198.616,5459.115666666667,10921.554666666667,227.492
2003-10-01,895.98775,28390.42025,10783.304,317.69624999999996,5213.2595,5434.90275,10951.792249999999,228.38075
2003-11-01,900.8471666666667,28472.511833333334,10812.730666666666,319.7318333333333,5227.902999999999,5410.689833333334,10982.029833333332,229.2695
2003-12-01,905.7065833333334,28554.603416666665,10842.157333333334,321.7674166666667,5242.5464999999995,5386.4769166666665,11012.267416666666,230.15825
2004-01-01,910.566,28636.695,10871.584,323.803,5257.19,5362.264,11042.505,231.047
2004-02-01,915.0443333333334,28718.18725,10927.563250000001,325.57725,5267.479666666666,5308.46425,11050.5795,231.94325
2004-03-01,919.5226666666667,28799.6795,10983.5425,327.3515,5277.769333333333,5254.6645,11058.653999999999,232.8395
2004-04-01,924.001,28881.17175,11039.52175,329.12575,5288.058999999999,5200.864750000001,11066.7285,233.73575
2004-05-01,928.4793333333333,28962.664,11095.501,330.9,5298.348666666667,5147.0650000000005,11074.803,234.632
2004-06-01,932.9576666666667,29044.15625,11151.48025,332.67425,5308.638333333333,5093.26525,11082.877499999999,235.52824999999999
2004-07-01,937.436,29125.6485,11207.4595,334.44849999999997,5318.928,5039.4655,11090.952,236.4245
2004-08-01,941.9143333333334,29207.14075,11263.43875,336.22275,5329.217666666666,4985.66575,11099.0265,237.32075
2004-09-01,946.3926666666667,29288.632999999998,11319.418,337.997,5339.507333333333,4931.866,11107.100999999999,238.21699999999998
2004-10-01,950.8710000000001,29370.125249999997,11375.39725,339.77125,5349.7970000000005,4878.06625,11115.1755,239.11325
2004-11-01,955.3493333333333,29451.6175,11431.376499999998,341.5455,5360.086666666667,4824.266500000001,11123.25,240.0095
2004-12-01,959.8276666666667,29533.10975,11487.355749999999,343.31975,5370.376333333334,4770.4667500000005,11131.324499999999,240.90574999999998
2005-01-01,964.306,29614.602,11543.335,345.094,5380.666,4716.667,11139.399,241.802
2005-02-01,971.5862500000001,29696.144916666664,11597.127083333333,345.2411666666667,5391.1779166666665,4746.386083333334,11148.309166666666,242.70325
2005-03-01,978.8665000000001,29777.687833333333,11650.919166666667,345.3883333333333,5401.689833333334,4776.105166666667,11157.219333333333,243.6045
2005-04-01,986.1467500000001,29859.23075,11704.71125,345.5355,5412.20175,4805.824250000001,11166.1295,244.50574999999998
2005-05-01,993.427,29940.773666666664,11758.503333333332,345.68266666666665,5422.7136666666665,4835.543333333334,11175.039666666666,245.40699999999998
2005-06-01,1000.70725,30022.316583333333,11812.295416666666,345.82983333333334,5433.225583333334,4865.262416666667,11183.949833333332,246.30825
2005-07-01,1007.9875000000001,30103.8595,11866.0875,345.977,5443.7375,4894.9815,11192.86,247.2095
2005-08-01,1015.2677500000001,30185.402416666664,11919.879583333333,346.12416666666667,5454.249416666667,4924.700583333333,11201.770166666667,248.11075
2005-09-01,1022.5480000000001,30266.945333333333,11973.671666666667,346.27133333333336,5464.761333333334,4954.419666666667,11210.680333333334,249.012
2005-10-01,1029.82825,30348.48825,12027.463749999999,346.4185,5475.27325,4984.13875,11219.5905,249.91325
2005-11-01,1037.1085,30430.031166666664,12081.255833333333,346.5656666666667,5485.785166666667,5013.8578333333335,11228.500666666667,250.81449999999998
2005-12-01,1044.38875,30511.574083333333,12135.047916666666,346.7128333333333,5496.297083333334,5043.576916666667,11237.410833333333,251.71574999999999
2006-01-01,1051.669,30593.117,12188.84,346.86,5506.809,5073.296,11246.321,252.617
2006-02-01,1058.1456666666668,30669.25633333333,12237.8,348.2870833333333,5522.419416666667,5020.269833333334,11249.433,253.17016666666666
2006-03-01,1064.6223333333335,30745.395666666664,12286.76,349.7141666666667,5538.029833333334,4967.243666666667,11252.545,253.72333333333333
2006-04-01,1071.0990000000002,30821.535,12335.720000000001,351.14125,5553.64025,4914.217500000001,11255.657,254.2765
2006-05-01,1077.5756666666666,30897.674333333332,12384.68,352.5683333333333,5569.250666666667,4861.191333333333,11258.769,254.82966666666667
2006-06-01,1084.0523333333333,30973.813666666665,12433.64,353.9954166666667,5584.861083333333,4808.165166666667,11261.881000000001,255.38283333333334
2006-07-01,1090.529,31049.953,12482.6,355.4225,5600.4715,4755.139,11264.993,255.93599999999998
2006-08-01,1097.0056666666667,31126.092333333334,12531.560000000001,356.8495833333333,5616.081916666667,4702.112833333334,11268.105,256.4891666666667
2006-09-01,1103.4823333333334,31202.231666666667,12580.52,358.2766666666667,5631.692333333333,4649.086666666667,11271.217,257.0423333333333
2006-10-01,1109.9589999999998,31278.371,12629.48,359.70375,5647.30275,4596.0605,11274.329000000002,257.5955
2006-11-01,1116.4356666666665,31354.51033333333,12678.44,361.1308333333333,5662.913166666667,4543.034333333333,11277.441,258.14866666666666
